PING 10.10.1.3 (10.10.1.3) 56(84) bytes of data.
64 bytes from 10.10.1.3: icmp_seq=1 ttl=64 time=0.396 ms
64 bytes from 10.10.1.3: icmp_seq=2 ttl=64 time=0.393 ms
64 bytes from 10.10.1.3: icmp_seq=3 ttl=64 time=0.496 ms
64 bytes from 10.10.1.3: icmp_seq=4 ttl=64 time=0.452 ms
64 bytes from 10.10.1.3: icmp_seq=5 ttl=64 time=0.455 ms
64 bytes from 10.10.1.3: icmp_seq=6 ttl=64 time=0.438 ms
64 bytes from 10.10.1.3: icmp_seq=7 ttl=64 time=0.469 ms
64 bytes from 10.10.1.3: icmp_seq=8 ttl=64 time=0.382 ms
64 bytes from 10.10.1.3: icmp_seq=9 ttl=64 time=0.507 ms
64 bytes from 10.10.1.3: icmp_seq=10 ttl=64 time=0.568 ms
64 bytes from 10.10.1.3: icmp_seq=11 ttl=64 time=0.385 ms
64 bytes from 10.10.1.3: icmp_seq=12 ttl=64 time=0.440 ms
64 bytes from 10.10.1.3: icmp_seq=13 ttl=64 time=0.527 ms
64 bytes from 10.10.1.3: icmp_seq=14 ttl=64 time=0.549 ms
64 bytes from 10.10.1.3: icmp_seq=15 ttl=64 time=0.460 ms
64 bytes from 10.10.1.3: icmp_seq=16 ttl=64 time=0.532 ms
64 bytes from 10.10.1.3: icmp_seq=17 ttl=64 time=0.445 ms
64 bytes from 10.10.1.3: icmp_seq=18 ttl=64 time=0.632 ms
64 bytes from 10.10.1.3: icmp_seq=19 ttl=64 time=0.579 ms
64 bytes from 10.10.1.3: icmp_seq=20 ttl=64 time=0.466 ms
64 bytes from 10.10.1.3: icmp_seq=21 ttl=64 time=0.406 ms
64 bytes from 10.10.1.3: icmp_seq=22 ttl=64 time=0.590 ms
64 bytes from 10.10.1.3: icmp_seq=23 ttl=64 time=0.562 ms
64 bytes from 10.10.1.3: icmp_seq=24 ttl=64 time=0.516 ms
64 bytes from 10.10.1.3: icmp_seq=25 ttl=64 time=0.449 ms
64 bytes from 10.10.1.3: icmp_seq=26 ttl=64 time=0.382 ms
64 bytes from 10.10.1.3: icmp_seq=27 ttl=64 time=0.706 ms
64 bytes from 10.10.1.3: icmp_seq=28 ttl=64 time=0.364 ms
64 bytes from 10.10.1.3: icmp_seq=29 ttl=64 time=0.399 ms
64 bytes from 10.10.1.3: icmp_seq=30 ttl=64 time=0.489 ms
64 bytes from 10.10.1.3: icmp_seq=31 ttl=64 time=0.331 ms
64 bytes from 10.10.1.3: icmp_seq=32 ttl=64 time=0.555 ms
64 bytes from 10.10.1.3: icmp_seq=33 ttl=64 time=0.561 ms
64 bytes from 10.10.1.3: icmp_seq=34 ttl=64 time=0.448 ms
64 bytes from 10.10.1.3: icmp_seq=35 ttl=64 time=0.590 ms
64 bytes from 10.10.1.3: icmp_seq=36 ttl=64 time=0.428 ms
64 bytes from 10.10.1.3: icmp_seq=37 ttl=64 time=0.432 ms
64 bytes from 10.10.1.3: icmp_seq=38 ttl=64 time=0.485 ms
64 bytes from 10.10.1.3: icmp_seq=39 ttl=64 time=0.538 ms
64 bytes from 10.10.1.3: icmp_seq=40 ttl=64 time=0.563 ms
64 bytes from 10.10.1.3: icmp_seq=41 ttl=64 time=0.493 ms
64 bytes from 10.10.1.3: icmp_seq=42 ttl=64 time=0.449 ms
64 bytes from 10.10.1.3: icmp_seq=43 ttl=64 time=0.561 ms
64 bytes from 10.10.1.3: icmp_seq=44 ttl=64 time=0.388 ms
64 bytes from 10.10.1.3: icmp_seq=45 ttl=64 time=0.416 ms
64 bytes from 10.10.1.3: icmp_seq=46 ttl=64 time=0.576 ms
64 bytes from 10.10.1.3: icmp_seq=47 ttl=64 time=0.611 ms
64 bytes from 10.10.1.3: icmp_seq=48 ttl=64 time=0.631 ms
64 bytes from 10.10.1.3: icmp_seq=49 ttl=64 time=0.420 ms
64 bytes from 10.10.1.3: icmp_seq=50 ttl=64 time=0.475 ms
64 bytes from 10.10.1.3: icmp_seq=51 ttl=64 time=0.445 ms
64 bytes from 10.10.1.3: icmp_seq=52 ttl=64 time=0.384 ms
64 bytes from 10.10.1.3: icmp_seq=53 ttl=64 time=0.514 ms
64 bytes from 10.10.1.3: icmp_seq=54 ttl=64 time=0.511 ms
