PING 10.10.1.3 (10.10.1.3) 1400(1428) bytes of data.
1408 bytes from 10.10.1.3: icmp_seq=1 ttl=64 time=0.563 ms
1408 bytes from 10.10.1.3: icmp_seq=2 ttl=64 time=0.565 ms
1408 bytes from 10.10.1.3: icmp_seq=3 ttl=64 time=0.589 ms
1408 bytes from 10.10.1.3: icmp_seq=4 ttl=64 time=0.607 ms
1408 bytes from 10.10.1.3: icmp_seq=5 ttl=64 time=0.585 ms
1408 bytes from 10.10.1.3: icmp_seq=6 ttl=64 time=0.582 ms
1408 bytes from 10.10.1.3: icmp_seq=7 ttl=64 time=0.678 ms
1408 bytes from 10.10.1.3: icmp_seq=8 ttl=64 time=0.670 ms
1408 bytes from 10.10.1.3: icmp_seq=9 ttl=64 time=0.607 ms
1408 bytes from 10.10.1.3: icmp_seq=10 ttl=64 time=0.642 ms
1408 bytes from 10.10.1.3: icmp_seq=11 ttl=64 time=0.693 ms
1408 bytes from 10.10.1.3: icmp_seq=12 ttl=64 time=0.564 ms
1408 bytes from 10.10.1.3: icmp_seq=13 ttl=64 time=0.632 ms
1408 bytes from 10.10.1.3: icmp_seq=14 ttl=64 time=0.547 ms
1408 bytes from 10.10.1.3: icmp_seq=15 ttl=64 time=0.612 ms
1408 bytes from 10.10.1.3: icmp_seq=16 ttl=64 time=0.548 ms
1408 bytes from 10.10.1.3: icmp_seq=17 ttl=64 time=0.687 ms
1408 bytes from 10.10.1.3: icmp_seq=18 ttl=64 time=0.557 ms
1408 bytes from 10.10.1.3: icmp_seq=19 ttl=64 time=0.520 ms
1408 bytes from 10.10.1.3: icmp_seq=20 ttl=64 time=0.566 ms
1408 bytes from 10.10.1.3: icmp_seq=21 ttl=64 time=0.539 ms
1408 bytes from 10.10.1.3: icmp_seq=22 ttl=64 time=0.575 ms
1408 bytes from 10.10.1.3: icmp_seq=23 ttl=64 time=0.561 ms
1408 bytes from 10.10.1.3: icmp_seq=24 ttl=64 time=0.782 ms
1408 bytes from 10.10.1.3: icmp_seq=25 ttl=64 time=0.613 ms
1408 bytes from 10.10.1.3: icmp_seq=26 ttl=64 time=0.613 ms
1408 bytes from 10.10.1.3: icmp_seq=27 ttl=64 time=0.612 ms
1408 bytes from 10.10.1.3: icmp_seq=28 ttl=64 time=0.482 ms
1408 bytes from 10.10.1.3: icmp_seq=29 ttl=64 time=0.646 ms
1408 bytes from 10.10.1.3: icmp_seq=30 ttl=64 time=0.553 ms
1408 bytes from 10.10.1.3: icmp_seq=31 ttl=64 time=0.525 ms
1408 bytes from 10.10.1.3: icmp_seq=32 ttl=64 time=0.643 ms
1408 bytes from 10.10.1.3: icmp_seq=33 ttl=64 time=0.641 ms
1408 bytes from 10.10.1.3: icmp_seq=34 ttl=64 time=0.586 ms
1408 bytes from 10.10.1.3: icmp_seq=35 ttl=64 time=0.622 ms
1408 bytes from 10.10.1.3: icmp_seq=36 ttl=64 time=0.624 ms
1408 bytes from 10.10.1.3: icmp_seq=37 ttl=64 time=0.536 ms
1408 bytes from 10.10.1.3: icmp_seq=38 ttl=64 time=0.591 ms
1408 bytes from 10.10.1.3: icmp_seq=39 ttl=64 time=0.654 ms
1408 bytes from 10.10.1.3: icmp_seq=40 ttl=64 time=0.654 ms
1408 bytes from 10.10.1.3: icmp_seq=41 ttl=64 time=0.483 ms
1408 bytes from 10.10.1.3: icmp_seq=42 ttl=64 time=0.628 ms
1408 bytes from 10.10.1.3: icmp_seq=43 ttl=64 time=0.631 ms
1408 bytes from 10.10.1.3: icmp_seq=44 ttl=64 time=0.575 ms
1408 bytes from 10.10.1.3: icmp_seq=45 ttl=64 time=0.544 ms
1408 bytes from 10.10.1.3: icmp_seq=46 ttl=64 time=0.578 ms
1408 bytes from 10.10.1.3: icmp_seq=47 ttl=64 time=0.544 ms
1408 bytes from 10.10.1.3: icmp_seq=48 ttl=64 time=0.487 ms
1408 bytes from 10.10.1.3: icmp_seq=49 ttl=64 time=0.794 ms
1408 bytes from 10.10.1.3: icmp_seq=50 ttl=64 time=0.511 ms
1408 bytes from 10.10.1.3: icmp_seq=51 ttl=64 time=0.587 ms
1408 bytes from 10.10.1.3: icmp_seq=52 ttl=64 time=0.635 ms
1408 bytes from 10.10.1.3: icmp_seq=53 ttl=64 time=0.559 ms
1408 bytes from 10.10.1.3: icmp_seq=54 ttl=64 time=0.561 ms
1408 bytes from 10.10.1.3: icmp_seq=55 ttl=64 time=0.633 ms
1408 bytes from 10.10.1.3: icmp_seq=56 ttl=64 time=0.623 ms
1408 bytes from 10.10.1.3: icmp_seq=57 ttl=64 time=0.510 ms
1408 bytes from 10.10.1.3: icmp_seq=58 ttl=64 time=0.540 ms
