PING 10.10.1.3 (10.10.1.3) 500(528) bytes of data.
508 bytes from 10.10.1.3: icmp_seq=1 ttl=64 time=0.547 ms
508 bytes from 10.10.1.3: icmp_seq=2 ttl=64 time=0.353 ms
508 bytes from 10.10.1.3: icmp_seq=3 ttl=64 time=0.373 ms
508 bytes from 10.10.1.3: icmp_seq=4 ttl=64 time=0.550 ms
508 bytes from 10.10.1.3: icmp_seq=5 ttl=64 time=0.481 ms
508 bytes from 10.10.1.3: icmp_seq=6 ttl=64 time=0.405 ms
508 bytes from 10.10.1.3: icmp_seq=7 ttl=64 time=0.359 ms
508 bytes from 10.10.1.3: icmp_seq=8 ttl=64 time=0.316 ms
508 bytes from 10.10.1.3: icmp_seq=9 ttl=64 time=0.381 ms
508 bytes from 10.10.1.3: icmp_seq=10 ttl=64 time=0.446 ms
508 bytes from 10.10.1.3: icmp_seq=11 ttl=64 time=0.528 ms
508 bytes from 10.10.1.3: icmp_seq=12 ttl=64 time=0.417 ms
508 bytes from 10.10.1.3: icmp_seq=13 ttl=64 time=0.408 ms
508 bytes from 10.10.1.3: icmp_seq=14 ttl=64 time=0.470 ms
508 bytes from 10.10.1.3: icmp_seq=15 ttl=64 time=0.358 ms
508 bytes from 10.10.1.3: icmp_seq=16 ttl=64 time=0.452 ms
508 bytes from 10.10.1.3: icmp_seq=17 ttl=64 time=0.420 ms
508 bytes from 10.10.1.3: icmp_seq=18 ttl=64 time=0.440 ms
508 bytes from 10.10.1.3: icmp_seq=19 ttl=64 time=0.427 ms
508 bytes from 10.10.1.3: icmp_seq=20 ttl=64 time=0.322 ms
508 bytes from 10.10.1.3: icmp_seq=21 ttl=64 time=0.427 ms
508 bytes from 10.10.1.3: icmp_seq=22 ttl=64 time=0.269 ms
508 bytes from 10.10.1.3: icmp_seq=23 ttl=64 time=0.348 ms
508 bytes from 10.10.1.3: icmp_seq=24 ttl=64 time=0.523 ms
508 bytes from 10.10.1.3: icmp_seq=25 ttl=64 time=0.378 ms
508 bytes from 10.10.1.3: icmp_seq=26 ttl=64 time=0.371 ms
508 bytes from 10.10.1.3: icmp_seq=27 ttl=64 time=0.334 ms
508 bytes from 10.10.1.3: icmp_seq=28 ttl=64 time=0.430 ms
508 bytes from 10.10.1.3: icmp_seq=29 ttl=64 time=0.330 ms
508 bytes from 10.10.1.3: icmp_seq=30 ttl=64 time=0.470 ms
508 bytes from 10.10.1.3: icmp_seq=31 ttl=64 time=0.395 ms
508 bytes from 10.10.1.3: icmp_seq=32 ttl=64 time=0.343 ms
508 bytes from 10.10.1.3: icmp_seq=33 ttl=64 time=0.363 ms
508 bytes from 10.10.1.3: icmp_seq=34 ttl=64 time=0.341 ms
508 bytes from 10.10.1.3: icmp_seq=35 ttl=64 time=0.370 ms
508 bytes from 10.10.1.3: icmp_seq=36 ttl=64 time=0.464 ms
508 bytes from 10.10.1.3: icmp_seq=37 ttl=64 time=0.355 ms
508 bytes from 10.10.1.3: icmp_seq=38 ttl=64 time=0.335 ms
508 bytes from 10.10.1.3: icmp_seq=39 ttl=64 time=0.528 ms
508 bytes from 10.10.1.3: icmp_seq=40 ttl=64 time=0.586 ms
508 bytes from 10.10.1.3: icmp_seq=41 ttl=64 time=0.360 ms
508 bytes from 10.10.1.3: icmp_seq=42 ttl=64 time=0.384 ms
508 bytes from 10.10.1.3: icmp_seq=43 ttl=64 time=0.360 ms
508 bytes from 10.10.1.3: icmp_seq=44 ttl=64 time=0.385 ms
508 bytes from 10.10.1.3: icmp_seq=45 ttl=64 time=0.344 ms
508 bytes from 10.10.1.3: icmp_seq=46 ttl=64 time=0.447 ms
508 bytes from 10.10.1.3: icmp_seq=47 ttl=64 time=0.368 ms
508 bytes from 10.10.1.3: icmp_seq=48 ttl=64 time=0.477 ms
508 bytes from 10.10.1.3: icmp_seq=49 ttl=64 time=0.383 ms
508 bytes from 10.10.1.3: icmp_seq=50 ttl=64 time=0.448 ms
508 bytes from 10.10.1.3: icmp_seq=51 ttl=64 time=0.469 ms
508 bytes from 10.10.1.3: icmp_seq=52 ttl=64 time=0.487 ms
508 bytes from 10.10.1.3: icmp_seq=53 ttl=64 time=0.357 ms
508 bytes from 10.10.1.3: icmp_seq=54 ttl=64 time=0.429 ms
508 bytes from 10.10.1.3: icmp_seq=55 ttl=64 time=0.485 ms
508 bytes from 10.10.1.3: icmp_seq=56 ttl=64 time=0.359 ms
508 bytes from 10.10.1.3: icmp_seq=57 ttl=64 time=0.518 ms
508 bytes from 10.10.1.3: icmp_seq=58 ttl=64 time=0.531 ms
508 bytes from 10.10.1.3: icmp_seq=59 ttl=64 time=0.434 ms
508 bytes from 10.10.1.3: icmp_seq=60 ttl=64 time=0.504 ms
508 bytes from 10.10.1.3: icmp_seq=61 ttl=64 time=0.404 ms
508 bytes from 10.10.1.3: icmp_seq=62 ttl=64 time=0.431 ms
508 bytes from 10.10.1.3: icmp_seq=63 ttl=64 time=0.357 ms
508 bytes from 10.10.1.3: icmp_seq=64 ttl=64 time=0.449 ms
508 bytes from 10.10.1.3: icmp_seq=65 ttl=64 time=0.403 ms
